ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_gps_tracking,action_screenshots,action_create_custom_field,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
9,0,0,7,0,0,0,0,0,0,0,0,0,0,5,,,,Germany,204,7,8,9,0,417.43,No
1,6,0,11,0,0,0,1,0,0,0,2,0,0,0,1,,,Australia,168,6,9,1,0,394.693,Yes
1,0,1,67,66,1,0,0,0,0,0,0,0,0,0,,,,United Kingdom,77,3,15,2,0,265.629,No
1,0,0,16,12,0,0,0,0,0,0,0,0,0,0,,,,New York,92,13,15,1,0,160.498,No
7,0,0,105,52,0,0,1,0,34,0,0,0,23,44,,,2,Belgium,420,14,5,7,0,389.61,No
1,5,1,16,171,0,0,0,0,0,16,0,0,0,8,4,1,,,7,1,14,2,0,1350.635,No
21,51,2,696,752,0,0,0,2,0,27,0,0,0,0,,,14,,325,12,10,23,0,2233.998,No
1,0,0,1,0,0,0,0,0,42,0,0,0,0,2,,,,,1,14,13,1,0,168.831,No
1,0,0,3,0,1,15,1,0,15,0,0,0,0,0,1,1,,California,140,14,9,1,0,116.883,No
1,0,0,35,42,0,25,0,0,22,0,0,0,0,0,,2,,Alabama,36,2,13,1,0,165.269,No
4,0,0,93,89,0,0,0,0,0,25,2,0,0,84,,2,3,France,67,3,13,4,0,567.905,No
7,0,0,80,55,0,0,0,0,0,0,0,0,0,15,,,1,Oregon,396,13,15,6,0,579.527,No
2,8,0,12,7,0,0,0,0,0,5,0,0,0,2,,1,,Florida,55,6,5,10,0,649.35,Yes
2,0,0,75,90,0,60,0,0,2,0,0,0,1,0,1,1,,Belgium,1,0,15,2,0,229.84,No
1,14,0,14,73,0,0,0,0,0,8,0,0,0,14,2,1,,Bangladesh,18,11,20,2,0,768.651,Yes
1,0,0,2,98,0,0,0,0,23,0,0,0,0,0,,1,,,348,14,2,1,0,25.974,No
36,6,0,10,2,0,2,0,0,0,0,0,0,0,2,,3,,,113,4,27,38,0,4619.589,No
7,3,0,46,35,0,1,0,0,1,20,0,0,427,0,,1,,,35,14,12,10,0,1558.44,No
1,0,0,22,2,0,0,0,1,30,0,3,0,8,34,1,,1,California,8,6,7,1,0,84.409,Yes
14,2,0,4,56,0,1,1,0,0,0,0,0,0,0,2,2,,France,257,14,5,15,0,974.025,No
16,7,0,35,187,0,0,0,50,0,2,3,0,0,56,,,4,Massachusetts,365,14,17,17,0,2301.858,No
1,0,0,6,12,0,0,0,0,35,0,0,0,0,0,,,,Arizona,302,10,13,1,0,148.005,No
3,1,0,4,3,0,0,0,0,0,0,0,0,0,0,,4,,California,5,6,6,3,0,222.066,Yes
1,1,0,7,11,0,0,0,0,0,0,0,0,0,0,,,,Germany,109,3,8,1,0,107.341,Yes
1,0,0,1,0,0,0,0,0,20,0,0,0,37,0,,,,Florida,11,13,13,1,0,168.831,No
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,California,26,0,8,1,0,544.089,Yes
1,0,0,4,2,0,0,0,0,0,0,0,0,0,4,,,,Illinois,0,8,9,1,0,116.883,Yes
1,0,0,14,15,0,0,0,0,0,2,0,1,0,6,,,,Canada,0,13,13,1,0,168.831,No
5,0,0,29,0,0,0,0,0,0,0,0,1,0,0,1,,,Florida,326,10,2,5,0,64.61,Yes
5,2,1,5,7,5,0,0,0,0,0,0,0,0,12,1,1,,California,344,13,9,6,0,486.993,No
1,2,0,28,0,0,0,0,0,0,0,0,0,11,21,,,,United Kingdom,118,13,9,1,0,116.883,No
4,0,0,24,6,0,24,0,0,0,0,0,0,8,0,1,,,Indiana,306,13,14,4,0,556.153,No
1,0,0,33,0,1,0,0,0,0,0,0,0,0,63,,,,Germany,12,13,13,1,0,168.831,No
13,1,0,59,14,2,43,0,0,0,0,0,0,0,12,,,,Belgium,103,3,18,13,0,1606.93,No
9,0,0,10,8,0,41,0,0,1,0,0,0,0,1,,1,,,314,10,14,9,0,1849.549,No
